Sl.no     |Class          |Prior          |Word           |log(Probablity) 
1         |neg            |0.5            |beatty's       |-11.603969740547956 
2         |neg            |0.5            |cancel         |-11.603969740547956 
3         |neg            |0.5            |nicely         |-9.658059591492643 
4         |neg            |0.5            |acutely        |-12.990264101667847 
5         |neg            |0.5            |impersonation  |-11.380826189233748 
6         |neg            |0.5            |costing        |-11.891651812999738 
7         |neg            |0.5            |abrupt         |-11.380826189233748 
8         |neg            |0.5            |clinton        |-12.297116921107902 
9         |neg            |0.5            |spontaneous    |-11.198504632439793 
10        |neg            |0.5            |pretend        |-10.099892343771684 
11        |neg            |0.5            |guards         |-10.505357451879847 
12        |neg            |0.5            |pick           |-9.406745163211738 
13        |neg            |0.5            |gloomy         |-11.198504632439793 
14        |neg            |0.5            |pics           |-11.044353952612534 
15        |neg            |0.5            |energy         |-9.183601611897528 
16        |neg            |0.5            |blasts         |-11.891651812999738 
17        |neg            |0.5            |antonio        |-10.045825122501407 
18        |neg            |0.5            |spreading      |-11.380826189233748 
19        |neg            |0.5            |terrifically   |-12.297116921107902 
20        |neg            |0.5            |sigourney      |-11.044353952612534 
21        |neg            |0.5            |compassionate  |-11.891651812999738 
22        |neg            |0.5            |depictions     |-11.891651812999738 
23        |neg            |0.5            |protective     |-12.297116921107902 
24        |neg            |0.5            |amusing        |-8.895919539445748 
25        |neg            |0.5            |fishburne      |-11.603969740547956 
26        |neg            |0.5            |bogus          |-11.891651812999738 
27        |neg            |0.5            |baby's         |-12.297116921107902 
28        |neg            |0.5            |turf           |-11.603969740547956 
29        |neg            |0.5            |role           |-7.273236400261626 
30        |neg            |0.5            |fearless       |-12.297116921107902 
31        |neg            |0.5            |danner         |-11.198504632439793 
32        |neg            |0.5            |1000           |-11.603969740547956 
33        |neg            |0.5            |roll           |-9.732167563646366 
34        |neg            |0.5            |liotta         |-10.793039524331629 
35        |neg            |0.5            |turn           |-8.186243056934591 
36        |neg            |0.5            |gold           |-9.658059591492643 
37        |neg            |0.5            |result         |-8.571423493871249 
38        |neg            |0.5            |sizemore       |-11.380826189233748 
39        |neg            |0.5            |golf           |-11.198504632439793 
40        |neg            |0.5            |pies           |-12.297116921107902 
41        |neg            |0.5            |selfish        |-10.351206772052588 
42        |neg            |0.5            |flik           |-11.603969740547956 
43        |neg            |0.5            |after          |-6.471116813727452 
44        |neg            |0.5            |flip           |-10.910822559988011 
45        |neg            |0.5            |resume         |-10.687679008673802 
46        |neg            |0.5            |laden          |-11.380826189233748 
47        |neg            |0.5            |artistic       |-10.425314744206311 
48        |neg            |0.5            |supercop       |-11.603969740547956 
49        |neg            |0.5            |pied           |-11.891651812999738 
50        |neg            |0.5            |eating         |-10.282213900565637 
51        |neg            |0.5            |conrad         |-10.425314744206311 
52        |neg            |0.5            |neighbor       |-10.505357451879847 
53        |neg            |0.5            |gripping       |-11.891651812999738 
54        |neg            |0.5            |entering       |-11.044353952612534 
55        |neg            |0.5            |readers        |-11.044353952612534 
56        |neg            |0.5            |information    |-9.352677941941462 
57        |neg            |0.5            |adrian         |-11.603969740547956 
58        |neg            |0.5            |dogged         |-11.380826189233748 
59        |neg            |0.5            |spouting       |-11.380826189233748 
60        |neg            |0.5            |cgi            |-10.157050757611632 
61        |neg            |0.5            |powered        |-11.891651812999738 
62        |neg            |0.5            |co-written     |-11.603969740547956 
63        |neg            |0.5            |screenplays    |-11.198504632439793 
64        |neg            |0.5            |good           |-6.1648040654125404 
65        |neg            |0.5            |faithful       |-10.687679008673802 
66        |neg            |0.5            |empty          |-9.434916040178434 
67        |neg            |0.5            |pigs           |-11.603969740547956 
68        |neg            |0.5            |fiance         |-10.793039524331629 
69        |neg            |0.5            |sylvia         |-11.603969740547956 
70        |neg            |0.5            |romp           |-11.380826189233748 
71        |neg            |0.5            |suffered       |-10.282213900565637 
72        |neg            |0.5            |copying        |-11.198504632439793 
73        |neg            |0.5            |myriad         |-11.198504632439793 
74        |neg            |0.5            |besides        |-9.732167563646366 
75        |neg            |0.5            |serious        |-8.559447302824534 
76        |neg            |0.5            |hallucinations |-11.380826189233748 
77        |neg            |0.5            |erratic        |-11.380826189233748 
78        |neg            |0.5            |delivering     |-10.505357451879847 
79        |neg            |0.5            |rome           |-11.603969740547956 
80        |neg            |0.5            |chi            |-11.380826189233748 
81        |neg            |0.5            |walken         |-10.687679008673802 
82        |neg            |0.5            |informative    |-12.297116921107902 
83        |neg            |0.5            |walker         |-10.351206772052588 
84        |neg            |0.5            |gone           |-8.595814946995409 
85        |neg            |0.5            |walked         |-9.994531828113857 
86        |neg            |0.5            |kasdan         |-10.910822559988011 
87        |neg            |0.5            |cia            |-10.793039524331629 
88        |neg            |0.5            |scholars       |-12.990264101667847 
89        |neg            |0.5            |wacky          |-10.282213900565637 
90        |neg            |0.5            |jeanne         |-10.910822559988011 
91        |neg            |0.5            |freddy         |-10.910822559988011 
92        |neg            |0.5            |raging         |-11.044353952612534 
93        |neg            |0.5            |disturbed      |-10.793039524331629 
94        |neg            |0.5            |rope           |-11.044353952612534 
95        |neg            |0.5            |werewolves     |-11.891651812999738 
96        |neg            |0.5            |motive         |-10.687679008673802 
97        |neg            |0.5            |thieves        |-10.505357451879847 
98        |neg            |0.5            |root           |-9.732167563646366 
99        |neg            |0.5            |murdoch        |-11.891651812999738 
100       |neg            |0.5            |rubell         |-10.425314744206311 
101       |neg            |0.5            |roof           |-10.910822559988011 
102       |neg            |0.5            |caliber        |-10.592368828869477 
103       |neg            |0.5            |quarters       |-12.297116921107902 
104       |neg            |0.5            |multiple       |-9.899221648309531 
105       |neg            |0.5            |plotting       |-10.217675379428066 
106       |neg            |0.5            |room           |-8.425915910200011 
107       |neg            |0.5            |better         |-6.912621858318813 
108       |neg            |0.5            |poignant       |-11.603969740547956 
109       |neg            |0.5            |creeps         |-11.380826189233748 
110       |neg            |0.5            |cancer         |-10.505357451879847 
111       |neg            |0.5            |creepy         |-9.352677941941462 
112       |neg            |0.5            |adrien         |-11.603969740547956 
113       |neg            |0.5            |taking         |-8.468475524618807 
114       |neg            |0.5            |egoyan         |-12.297116921107902 
115       |neg            |0.5            |terrifying     |-10.793039524331629 
116       |neg            |0.5            |artistry       |-11.891651812999738 
117       |neg            |0.5            |pile           |-10.045825122501407 
118       |neg            |0.5            |johnny's       |-11.603969740547956 
119       |neg            |0.5            |overused       |-11.044353952612534 
120       |neg            |0.5            |gosh           |-11.603969740547956 
121       |neg            |0.5            |roro           |-10.910822559988011 
122       |neg            |0.5            |investigators  |-11.044353952612534 
123       |neg            |0.5            |godawful       |-11.380826189233748 
124       |neg            |0.5            |goro           |-12.297116921107902 
125       |neg            |0.5            |chills         |-10.910822559988011 
126       |neg            |0.5            |flashing       |-11.603969740547956 
127       |neg            |0.5            |flop           |-10.687679008673802 
128       |neg            |0.5            |flow           |-11.198504632439793 
129       |neg            |0.5            |gory           |-10.099892343771684 
130       |neg            |0.5            |reminds        |-10.282213900565637 
131       |neg            |0.5            |order          |-8.365291288383577 
132       |neg            |0.5            |protecting     |-11.380826189233748 
133       |neg            |0.5            |timid          |-11.603969740547956 
134       |neg            |0.5            |gore           |-9.229063985974285 
135       |neg            |0.5            |resonance      |-11.380826189233748 
136       |neg            |0.5            |reformed       |-11.380826189233748 
137       |neg            |0.5            |malevolent     |-11.603969740547956 
138       |neg            |0.5            |ensue          |-11.380826189233748 
139       |neg            |0.5            |powers'        |-11.603969740547956 
140       |neg            |0.5            |coach          |-9.493756540201367 
141       |neg            |0.5            |homage         |-10.282213900565637 
142       |neg            |0.5            |women          |-8.228090166870091 
143       |neg            |0.5            |pink           |-11.198504632439793 
144       |neg            |0.5            |woman          |-7.652726021966529 
145       |neg            |0.5            |roth           |-10.099892343771684 
146       |neg            |0.5            |dumps          |-11.891651812999738 
147       |neg            |0.5            |protection     |-11.603969740547956 
148       |neg            |0.5            |footsteps      |-11.044353952612534 
149       |neg            |0.5            |real-life      |-10.157050757611632 
150       |neg            |0.5            |unforgettable  |-11.044353952612534 
151       |neg            |0.5            |bothering      |-11.380826189233748 
152       |neg            |0.5            |cameras        |-10.425314744206311 
153       |neg            |0.5            |honesty        |-11.044353952612534 
154       |neg            |0.5            |syndrome       |-10.687679008673802 
155       |neg            |0.5            |peebles        |-11.603969740547956 
156       |neg            |0.5            |kentucky       |-11.891651812999738 
157       |neg            |0.5            |adultery       |-12.297116921107902 
158       |neg            |0.5            |implications   |-11.603969740547956 
159       |neg            |0.5            |additions      |-11.380826189233748 
160       |neg            |0.5            |question       |-8.271765230372754 
161       |neg            |0.5            |pimp           |-10.425314744206311 
162       |neg            |0.5            |ross           |-10.910822559988011 
